"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 25, 2019","50,507,000","50,882,000","51,080,000","50,148,000","0.28K","-0.73%"
"Jan 24, 2019","50,880,000","50,662,000","51,100,000","50,307,000","0.35K","0.43%"
"Jan 23, 2019","50,662,000","51,064,000","51,364,000","50,464,000","0.26K","-0.84%"
"Jan 22, 2019","51,093,000","50,887,000","51,518,000","49,850,000","0.32K","0.40%"
"Jan 21, 2019","50,887,000","50,801,000","51,255,000","50,492,000","0.31K","0.17%"
"Jan 20, 2019","50,801,000","52,684,000","52,829,000","50,378,000","0.32K","-3.57%"
"Jan 19, 2019","52,684,000","51,734,000","53,215,000","51,646,000","0.25K","1.84%"
"Jan 18, 2019","51,734,000","51,919,000","52,120,000","51,400,000","0.33K","-0.36%"
"Jan 17, 2019","51,919,000","51,576,000","52,100,000","51,301,000","0.37K","0.76%"
"Jan 16, 2019","51,527,000","51,121,000","52,188,000","51,031,000","0.25K","0.79%"
"Jan 15, 2019","51,122,000","52,335,000","52,480,000","50,900,000","0.29K","-2.32%"
"Jan 14, 2019","52,335,000","51,200,000","52,998,000","50,700,000","0.42K","2.22%"
"Jan 13, 2019","51,200,000","52,805,000","52,858,000","50,637,000","0.32K","-3.04%"
"Jan 12, 2019","52,805,000","53,190,000","53,276,000","52,569,000","0.28K","-0.72%"
"Jan 11, 2019","53,190,000","52,405,000","53,789,000","51,667,000","0.48K","1.50%"
"Jan 10, 2019","52,405,000","57,376,000","57,610,000","51,596,000","0.63K","-8.66%"
"Jan 09, 2019","57,376,000","57,519,000","58,000,000","57,088,000","0.26K","-0.25%"
"Jan 08, 2019","57,519,000","57,315,000","58,500,000","56,700,000","0.36K","0.36%"
"Jan 07, 2019","57,315,000","57,968,000","58,300,000","56,604,000","0.40K","-1.13%"
"Jan 06, 2019","57,968,000","55,557,000","58,855,000","55,201,000","0.36K","4.34%"
"Jan 05, 2019","55,557,000","55,894,000","56,400,000","55,439,000","0.20K","-0.60%"
"Jan 04, 2019","55,894,000","55,601,000","56,403,000","54,750,000","0.39K","0.50%"
"Jan 03, 2019","55,616,000","57,254,000","57,255,000","55,201,000","0.50K","-2.86%"
"Jan 02, 2019","57,254,000","56,900,000","57,400,000","56,327,000","0.38K","0.67%"
"Jan 01, 2019","56,875,000","54,953,000","57,112,000","54,406,000","0.19K","3.50%"
"Dec 31, 2018","54,953,000","56,482,000","56,673,000","54,300,000","0.35K","-2.71%"
"Dec 30, 2018","56,482,000","55,029,000","57,199,000","54,550,000","0.19K","2.65%"
"Dec 29, 2018","55,024,000","57,620,000","58,093,000","54,913,000","0.35K","-4.50%"
"Dec 28, 2018","57,615,000","53,686,000","58,500,000","53,528,000","0.43K","7.32%"
"Dec 27, 2018","53,686,000","56,781,000","56,880,000","53,376,000","0.39K","-5.45%"
"Dec 26, 2018","56,781,000","56,121,000","57,444,000","55,050,000","0.45K","1.18%"
"Dec 25, 2018","56,121,000","58,706,000","58,827,000","54,760,000","0.43K","-4.40%"
"Dec 24, 2018","58,706,000","57,945,000","61,058,000","57,900,000","0.70K","1.31%"
"Dec 23, 2018","57,945,000","58,400,000","59,315,000","57,198,000","0.27K","-0.77%"
